"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement Name","Value was recorded",5776,5776,NA
"< blank >","Missing",0,5776,NA
