"DS1ISODI.Code.or.Value","DS1ISODI.Value.Description","DS1ISODI.Count","DS1ISODI.Cumulative","DS1ISODI.Skip.to.Item"
"0.9 to 460","Range of Values",458,458,NA
".","Missing",5500,5958,NA
