"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"167.6 to 399.2","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
