"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 22995","Range of Values",12660,12660,NA
"77777","Refused",1,12661,NA
"99999","Don't know",221,12882,NA
".","Missing",5822,18704,NA
