"SLQ050.Code.or.Value","SLQ050.Value.Description","SLQ050.Count","SLQ050.Cumulative","SLQ050.Skip.to.Item"
"1","Yes",1621,1621,NA
"2","No",4535,6156,NA
"7","Refused",0,6156,NA
"9","Don't know",5,6161,NA
".","Missing",0,6161,NA
