"VTQ280F.Code.or.Value","VTQ280F.Value.Description","VTQ280F.Count","VTQ280F.Cumulative","VTQ280F.Skip.to.Item"
"1","Yes",554,554,NA
"2","No",2685,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",0,3239,NA
".","Missing",306,3545,NA
