"AUXLR283.Code.or.Value","AUXLR283.Value.Description","AUXLR283.Count","AUXLR283.Cumulative","AUXLR283.Skip.to.Item"
"-14 to 51","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
