"SSQ011.Code.or.Value","SSQ011.Value.Description","SSQ011.Count","SSQ011.Cumulative","SSQ011.Skip.to.Item"
"1","Yes",3605,3605,""
"2","No",382,3987,"SSD044"
"3","SP doesn't need help",29,4016,"SSD044"
"7","Refused",2,4018,"SSD044"
"9","Don't know",6,4024,"SSD044"
".","Missing",1,4025,""
