"ORXH61.Code.or.Value","ORXH61.Value.Description","ORXH61.Count","ORXH61.Cumulative","ORXH61.Skip.to.Item"
"1","Positive",23,23,NA
"2","Negative",4701,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
