"BIXS582K.Code.or.Value","BIXS582K.Value.Description","BIXS582K.Count","BIXS582K.Cumulative","BIXS582K.Skip.to.Item"
"73.6 to 810.61","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
