"VIDORFM.Code.or.Value","VIDORFM.Value.Description","VIDORFM.Count","VIDORFM.Cumulative","VIDORFM.Skip.to.Item"
"5 to 9","Range of Values",6266,6266,NA
".","Missing",492,6758,NA
