"WBXP027.Code.or.Value","WBXP027.Value.Description","WBXP027.Count","WBXP027.Cumulative","WBXP027.Skip.to.Item"
"-55.0591 to 161.596","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
