"AUDTYL23.Code.or.Value","AUDTYL23.Value.Description","AUDTYL23.Count","AUDTYL23.Cumulative","AUDTYL23.Skip.to.Item"
"0 to 1.19","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
