"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.016 to 4.23","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
