"DXXPT11Y.Code.or.Value","DXXPT11Y.Value.Description","DXXPT11Y.Count","DXXPT11Y.Cumulative","DXXPT11Y.Skip.to.Item"
"95.8 to 320.1","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
