"CIQD075.Code.or.Value","CIQD075.Value.Description","CIQD075.Count","CIQD075.Cumulative","CIQD075.Skip.to.Item"
"1 to 42","Range of Values",12,12,NA
"7777","Refuse",0,12,NA
"9999","Don't know",0,12,NA
".","Missing",766,778,NA
