"SMQ895.Code.or.Value","SMQ895.Value.Description","SMQ895.Count","SMQ895.Cumulative","SMQ895.Skip.to.Item"
"0 to 30","Range of Values",2095,2095,NA
"77","Refused",0,2095,NA
"99","Don't know",0,2095,NA
".","Missing",4629,6724,NA
