"WTMREP50.Code.or.Value","WTMREP50.Value.Description","WTMREP50.Count","WTMREP50.Cumulative","WTMREP50.Skip.to.Item"
"0 to 261980.54185","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
