"DIQ180.Code.or.Value","DIQ180.Value.Description","DIQ180.Count","DIQ180.Cumulative","DIQ180.Skip.to.Item"
"1","Yes",2420,2420,NA
"2","No",3735,6155,NA
"7","Refused",0,6155,NA
"9","Don't know",249,6404,NA
".","Missing",3262,9666,NA
