"URDHP2LC.Code.or.Value","URDHP2LC.Value.Description","URDHP2LC.Count","URDHP2LC.Cumulative","URDHP2LC.Skip.to.Item"
"0","At or above the detection limit",2344,2344,NA
"1","Below lower detection limit",122,2466,NA
".","Missing",85,2551,NA
