"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"642.8 to 1225.7","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
