"WTSPH32.Code.or.Value","WTSPH32.Value.Description","WTSPH32.Count","WTSPH32.Cumulative","WTSPH32.Skip.to.Item"
"0 to 752108.96539","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
