"LBXH2RL.Code.or.Value","LBXH2RL.Value.Description","LBXH2RL.Count","LBXH2RL.Cumulative","LBXH2RL.Skip.to.Item"
"0 to 999.9","Range of Values",1798,1798,NA
".","Missing",200,1998,NA
