"DS2IPFAT.Code.or.Value","DS2IPFAT.Value.Description","DS2IPFAT.Count","DS2IPFAT.Cumulative","DS2IPFAT.Skip.to.Item"
"0.25 to 20","Range of Values",240,240,NA
".","Missing",5408,5648,NA
