"AUDTYR22.Code.or.Value","AUDTYR22.Value.Description","AUDTYR22.Count","AUDTYR22.Cumulative","AUDTYR22.Skip.to.Item"
"0 to 1.72","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
