"FSD032D.Code.or.Value","FSD032D.Value.Description","FSD032D.Count","FSD032D.Cumulative","FSD032D.Skip.to.Item"
"1","Often true",345,345,NA
"2","Sometimes true",1040,1385,NA
"3","Never true",5067,6452,NA
"7","Refused",1,6453,NA
"9","Don't know",4,6457,NA
".","Missing",3692,10149,NA
