"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.061 to 0.506","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
