"URDCEMLC.Code.or.Value","URDCEMLC.Value.Description","URDCEMLC.Count","URDCEMLC.Cumulative","URDCEMLC.Skip.to.Item"
"0","At or above the detection limit",2349,2349,NA
"1","Below lower detection limit",7,2356,NA
".","Missing",106,2462,NA
