"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"45.6 to 307.6","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
