"LBXGHC.Code.or.Value","LBXGHC.Value.Description","LBXGHC.Count","LBXGHC.Cumulative","LBXGHC.Skip.to.Item"
"0.019 to 0.555","Range of Values",2280,2280,NA
".","Missing",267,2547,NA
