"WTSPH33.Code.or.Value","WTSPH33.Value.Description","WTSPH33.Count","WTSPH33.Cumulative","WTSPH33.Skip.to.Item"
"0.0000000 to 778810.0049300","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
