"URDOP1LC.Code.or.Value","URDOP1LC.Value.Description","URDOP1LC.Count","URDOP1LC.Cumulative","URDOP1LC.Skip.to.Item"
"0","At or above the detection limit",2361,2361,NA
"1","Below lower detection limit",32,2393,NA
".","Missing",112,2505,NA
