"DSDSUPID.Code.or.Value","DSDSUPID.Value.Description","DSDSUPID.Count","DSDSUPID.Cumulative","DSDSUPID.Skip.to.Item"
"Supplement ID Number","Value was recorded",9117,9117,NA
"< blank >","Missing",0,9117,NA
