"URDEQULC.Code.or.Value","URDEQULC.Value.Description","URDEQULC.Count","URDEQULC.Cumulative","URDEQULC.Skip.to.Item"
"0","At or above the detection limit",2418,2418,NA
"1","Below lower detection limit",6,2424,NA
".","Missing",294,2718,NA
