"LBDTIB.Code.or.Value","LBDTIB.Value.Description","LBDTIB.Count","LBDTIB.Cumulative","LBDTIB.Skip.to.Item"
"33 to 765","Range of Values",8762,8762,NA
".","Missing",1167,9929,NA
