"DR1BWATZ.Code.or.Value","DR1BWATZ.Value.Description","DR1BWATZ.Count","DR1BWATZ.Cumulative","DR1BWATZ.Skip.to.Item"
"0 to 11310","Range of Values",8661,8661,NA
".","Missing",1152,9813,NA
