"DXXPT30Y.Code.or.Value","DXXPT30Y.Value.Description","DXXPT30Y.Count","DXXPT30Y.Cumulative","DXXPT30Y.Skip.to.Item"
"107.5 to 333.5","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
