"WTSPH08.Code.or.Value","WTSPH08.Value.Description","WTSPH08.Count","WTSPH08.Cumulative","WTSPH08.Skip.to.Item"
"0.0000000 to 779055.0525600","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
