"TYXP131.Code.or.Value","TYXP131.Value.Description","TYXP131.Count","TYXP131.Cumulative","TYXP131.Skip.to.Item"
"-288 to 34","Range of Values",7896,7896,NA
".","Missing",573,8469,NA
