"DSQTVB2.Code.or.Value","DSQTVB2.Value.Description","DSQTVB2.Count","DSQTVB2.Cumulative","DSQTVB2.Skip.to.Item"
"0.005 to 300","Range of Values",1977,1977,NA
".","Missing",7779,9756,NA
