"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 678","Range of Values",7844,7844,NA
".","Missing",242,8086,NA
