"HUQ030.Code.or.Value","HUQ030.Value.Description","HUQ030.Count","HUQ030.Cumulative","HUQ030.Skip.to.Item"
"1","Yes",8933,8933,""
"2","There is no place",1183,10116,"HUQ050"
"3","There is more than one place",32,10148,""
"7","Refused",0,10148,"HUQ050"
"9","Don't know",1,10149,"HUQ050"
".","Missing",0,10149,""
