"VIQ191.Code.or.Value","VIQ191.Value.Description","VIQ191.Count","VIQ191.Cumulative","VIQ191.Skip.to.Item"
"1","Right",7,7,NA
"2","Left",5,12,NA
"3","Both",39,51,NA
".","Missing",6707,6758,NA
