"LBDIRNSI.Code.or.Value","LBDIRNSI.Value.Description","LBDIRNSI.Count","LBDIRNSI.Cumulative","LBDIRNSI.Skip.to.Item"
"0.9 to 52.27","Range of Values",7877,7877,NA
".","Missing",955,8832,NA
