"LBDHBG.Code.or.Value","LBDHBG.Value.Description","LBDHBG.Count","LBDHBG.Cumulative","LBDHBG.Skip.to.Item"
"1","Positive",30,30,NA
"2","Negative",7855,7885,NA
".","Missing",706,8591,NA
