"DR1IMFAT.Code.or.Value","DR1IMFAT.Value.Description","DR1IMFAT.Count","DR1IMFAT.Cumulative","DR1IMFAT.Skip.to.Item"
"0 to 103.04","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
