"DS1TVB6.Code.or.Value","DS1TVB6.Value.Description","DS1TVB6.Count","DS1TVB6.Cumulative","DS1TVB6.Skip.to.Item"
"0.012 to 250","Range of Values",1528,1528,NA
".","Missing",8016,9544,NA
