"TYXP225.Code.or.Value","TYXP225.Value.Description","TYXP225.Count","TYXP225.Cumulative","TYXP225.Skip.to.Item"
"-299 to -25","Range of Values",303,303,NA
".","Missing",8166,8469,NA
