"DS1ILYCO.Code.or.Value","DS1ILYCO.Value.Description","DS1ILYCO.Count","DS1ILYCO.Cumulative","DS1ILYCO.Skip.to.Item"
"18 to 37500","Range of Values",435,435,NA
".","Missing",4935,5370,NA
