"SPAMANU.Code.or.Value","SPAMANU.Value.Description","SPAMANU.Count","SPAMANU.Cumulative","SPAMANU.Skip.to.Item"
"1 to 13","Range of Values",34857,34857,NA
".","Missing",0,34857,NA
