"OSD030be.Code.or.Value","OSD030be.Value.Description","OSD030be.Count","OSD030be.Cumulative","OSD030be.Skip.to.Item"
"11 to 60","Range of Values",7,7,NA
"85","85 or older",0,7,NA
"77777","Refused",0,7,NA
"99999","Don't know",0,7,NA
".","Missing",4972,4979,NA
