"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.2 to 251","Range of Values",2871,2871,NA
".","Missing",70,2941,NA
