"LBDVMELC.Code.or.Value","LBDVMELC.Value.Description","LBDVMELC.Count","LBDVMELC.Cumulative","LBDVMELC.Skip.to.Item"
"0","Detectable Result",247,247,NA
"1","Below Detectable Limit",4,251,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",33,284,NA
".","Missing",567,851,NA
