"VIDLVA.Code.or.Value","VIDLVA.Value.Description","VIDLVA.Count","VIDLVA.Cumulative","VIDLVA.Skip.to.Item"
"20","20/20",2952,2952,NA
"25","20/25",1525,4477,NA
"30","20/30",553,5030,NA
"40","20/40",294,5324,NA
"50","20/50",611,5935,NA
"60","20/60",82,6017,NA
"80","20/80",106,6123,NA
"200","20/200",127,6250,NA
"666","20/200+",112,6362,NA
"888","Could not obtain",0,6362,NA
".","Missing",396,6758,NA
