"DXDRLLE.Code.or.Value","DXDRLLE.Value.Description","DXDRLLE.Count","DXDRLLE.Cumulative","DXDRLLE.Skip.to.Item"
"1646.1 to 18101.4","Range of Values",5296,5296,NA
".","Missing",737,6033,NA
