"MCQ170K.Code.or.Value","MCQ170K.Value.Description","MCQ170K.Count","MCQ170K.Cumulative","MCQ170K.Skip.to.Item"
"1","Yes",196,196,NA
"2","No",173,369,NA
"7","Refused",0,369,NA
"9","Don't know",6,375,NA
".","Missing",9291,9666,NA
