"ECQ020.Code.or.Value","ECQ020.Value.Description","ECQ020.Count","ECQ020.Cumulative","ECQ020.Skip.to.Item"
"1","Yes",513,513,""
"2","No",3054,3567,"ECQ060"
"7","Refused",0,3567,"ECQ060"
"9","Don't know",35,3602,"ECQ060"
".","Missing",1,3603,""
