"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"1 to 30","Range of Values",7954,7954,NA
"7777","Refused",0,7954,NA
"9999","Don't know",12,7966,NA
".","Missing",303,8269,NA
