"DS2TKCAL.Code.or.Value","DS2TKCAL.Value.Description","DS2TKCAL.Count","DS2TKCAL.Cumulative","DS2TKCAL.Skip.to.Item"
"1 to 420","Range of Values",1081,1081,NA
".","Missing",7623,8704,NA
