"LBD049LC.Code.or.Value","LBD049LC.Value.Description","LBD049LC.Count","LBD049LC.Cumulative","LBD049LC.Skip.to.Item"
"0","At or above the detection limit",12,12,NA
"1","Below lower detection limit",235,247,NA
".","Missing",0,247,NA
