"SMQ740.Code.or.Value","SMQ740.Value.Description","SMQ740.Count","SMQ740.Cumulative","SMQ740.Skip.to.Item"
"1 to 5","Range of Values",6,6,NA
"7","Refused",0,6,NA
"9","Don't know",0,6,NA
".","Missing",6738,6744,NA
