"URXUBA.Code.or.Value","URXUBA.Value.Description","URXUBA.Count","URXUBA.Cumulative","URXUBA.Skip.to.Item"
"0.08 to 85.7","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
