"LBX118.Code.or.Value","LBX118.Value.Description","LBX118.Count","LBX118.Cumulative","LBX118.Skip.to.Item"
"0.0039 to 2.6984","Range of Values",1887,1887,NA
".","Missing",398,2285,NA
