"SMD410.Code.or.Value","SMD410.Value.Description","SMD410.Count","SMD410.Cumulative","SMD410.Skip.to.Item"
"1","Yes",1517,1517,""
"2","No",8948,10465,"End of Section"
"7","Refused",3,10468,"End of Section"
"9","Don't know",2,10470,"End of Section"
".","Missing",67,10537,""
